,Date,Time,open,high,low,close,volume
357,02-11-2023,14:40:00,19418.0,19418.0,19416.7,19416.7,50.0
358,02-11-2023,14:45:00,19416.7,19416.7,19411.4,19416.7,100.0
359,02-11-2023,14:50:00,19416.7,19425.0,19416.7,19425.0,900.0
360,02-11-2023,14:55:00,19425.0,19435.0,19425.0,19435.0,1050.0
361,02-11-2023,15:00:00,19435.0,19443.8,19435.0,19443.8,1550.0
362,02-11-2023,15:05:00,19443.8,19443.8,19432.95,19440.55,1400.0
363,02-11-2023,15:10:00,19440.55,19440.55,19433.0,19435.0,1750.0
364,02-11-2023,15:15:00,19435.0,19437.95,19433.05,19435.15,1300.0
365,02-11-2023,15:20:00,19435.15,19448.0,19435.15,19448.0,3800.0
366,02-11-2023,15:25:00,19446.4,19460.0,19446.4,19451.4,6100.0
367,03-11-2023,09:15:00,19536.95,19556.85,19505.3,19544.0,8500.0
368,03-11-2023,09:20:00,19544.0,19553.35,19540.6,19542.8,3500.0
369,03-11-2023,09:25:00,19542.8,19549.0,19538.55,19542.2,2650.0
370,03-11-2023,09:30:00,19542.2,19562.0,19542.2,19555.0,3950.0
371,03-11-2023,09:35:00,19555.0,19560.0,19550.0,19560.0,1350.0
372,03-11-2023,09:40:00,19560.0,19560.0,19550.0,19551.0,500.0
373,03-11-2023,09:45:00,19550.0,19555.0,19536.05,19536.05,1500.0
374,03-11-2023,09:50:00,19536.05,19545.65,19534.7,19545.65,700.0
375,03-11-2023,09:55:00,19545.65,19545.65,19541.5,19541.5,200.0
376,03-11-2023,10:00:00,19541.5,19548.95,19541.1,19548.95,600.0
377,03-11-2023,10:05:00,19548.95,19549.35,19544.55,19548.1,700.0
378,03-11-2023,10:10:00,19548.1,19548.1,19540.35,19540.85,400.0
379,03-11-2023,10:15:00,19540.85,19544.55,19540.0,19540.0,400.0
380,03-11-2023,10:20:00,19540.0,19544.55,19531.9,19531.9,550.0
381,03-11-2023,10:25:00,19531.9,19531.9,19530.0,19530.0,250.0
382,03-11-2023,10:30:00,19530.0,19531.5,19522.05,19522.05,300.0
383,03-11-2023,10:35:00,19522.05,19528.8,19522.05,19525.1,250.0
384,03-11-2023,10:40:00,19525.1,19527.8,19525.0,19527.8,100.0
385,03-11-2023,10:45:00,19527.8,19528.45,19523.05,19528.45,200.0
386,03-11-2023,10:50:00,19528.45,19532.0,19527.0,19527.0,150.0
387,03-11-2023,10:55:00,19527.0,19541.25,19525.0,19541.25,350.0
388,03-11-2023,11:00:00,19541.25,19542.0,19536.55,19542.0,650.0
389,03-11-2023,11:05:00,19542.0,19545.0,19541.85,19542.25,700.0
390,03-11-2023,11:10:00,19542.25,19542.25,19533.95,19536.05,250.0
391,03-11-2023,11:15:00,19536.05,19542.8,19534.0,19534.0,850.0
392,03-11-2023,11:20:00,19534.0,19534.0,19531.8,19531.8,250.0
393,03-11-2023,11:25:00,19531.8,19531.8,19527.2,19527.2,150.0
394,03-11-2023,11:30:00,19527.2,19529.95,19520.0,19529.95,500.0
395,03-11-2023,11:35:00,19528.7,19530.0,19522.45,19530.0,450.0
396,03-11-2023,11:40:00,19530.0,19530.0,19521.1,19524.75,550.0
397,03-11-2023,11:45:00,19524.75,19526.0,19520.05,19520.05,350.0
398,03-11-2023,11:50:00,19520.05,19524.65,19514.0,19514.0,800.0
399,03-11-2023,11:55:00,19514.0,19520.65,19513.75,19513.75,500.0
400,03-11-2023,12:05:00,19513.75,19524.0,19513.75,19522.85,550.0
401,03-11-2023,12:10:00,19522.85,19528.0,19522.85,19528.0,400.0
402,03-11-2023,12:15:00,19528.0,19528.2,19528.0,19528.2,50.0
403,03-11-2023,12:20:00,19528.2,19528.2,19528.0,19528.0,50.0
404,03-11-2023,12:25:00,19528.0,19528.0,19525.0,19525.0,150.0
405,03-11-2023,12:30:00,19525.0,19525.0,19520.0,19522.0,300.0
406,03-11-2023,12:35:00,19522.0,19528.0,19522.0,19528.0,250.0
407,03-11-2023,12:40:00,19528.0,19539.0,19525.45,19539.0,650.0
408,03-11-2023,12:45:00,19539.0,19539.0,19535.0,19538.55,150.0
409,03-11-2023,12:50:00,19538.55,19538.55,19527.05,19527.05,150.0
410,03-11-2023,12:55:00,19527.05,19534.05,19527.05,19533.3,300.0
411,03-11-2023,13:00:00,19533.3,19537.45,19533.0,19533.0,600.0
412,03-11-2023,13:05:00,19533.0,19533.0,19528.0,19528.0,550.0
413,03-11-2023,13:10:00,19528.0,19533.85,19528.0,19533.85,50.0
414,03-11-2023,13:15:00,19530.0,19530.6,19530.0,19530.6,150.0
415,03-11-2023,13:20:00,19530.6,19534.95,19530.0,19534.95,250.0
416,03-11-2023,13:25:00,19534.95,19539.6,19533.0,19539.6,750.0
